"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 17 10:21:40 EET 2021","Fri Dec 17 10:21:40 EET 2021","54","","API testing","","API testing","Checkig get feedback","Checkig get feedback",""
"broken","Fri Dec 17 10:20:05 EET 2021","Fri Dec 17 10:20:20 EET 2021","15444","","Updating info at HomePage","","Updating info at HomePage","Buy the last item","Buy the last item",""
"passed","Fri Dec 17 10:21:50 EET 2021","Fri Dec 17 10:21:50 EET 2021","46","","API testing","","API testing","Checking negative loggin","Checking negative loggin",""
"passed","Fri Dec 17 10:21:05 EET 2021","Fri Dec 17 10:21:15 EET 2021","10622","","Feedback testing","","Feedback testing","Feedback 3* testing","Feedback 3* testing",""
"passed","Fri Dec 17 10:21:25 EET 2021","Fri Dec 17 10:21:33 EET 2021","8057","","Social link testing","","Social link testing","Social link testing browser","Social link testing browser",""
"passed","Fri Dec 17 10:18:30 EET 2021","Fri Dec 17 10:18:40 EET 2021","10371","","Registration testing","","Registration testing","User registration","User registration",""
"failed","Fri Dec 17 10:22:30 EET 2021","Fri Dec 17 10:22:46 EET 2021","16049","","Basket testing","","Basket testing","Add/remove to basket","Add/remove to basket",""
"passed","Fri Dec 17 10:18:14 EET 2021","Fri Dec 17 10:18:23 EET 2021","8733","","Registration testing","","Registration testing","Password meets length requirement","Password meets length requirement",""
"passed","Fri Dec 17 10:19:35 EET 2021","Fri Dec 17 10:19:42 EET 2021","7015","","User profile testing","","User profile testing","update users info","update users info",""
"passed","Fri Dec 17 10:17:55 EET 2021","Fri Dec 17 10:18:05 EET 2021","10346","","Registration testing","","Registration testing","Invalid email input","Invalid email input",""
"passed","Fri Dec 17 10:19:20 EET 2021","Fri Dec 17 10:19:28 EET 2021","8897","","Login testing","","Login testing","Positive login testing","Positive login testing",""
"broken","Fri Dec 17 10:20:45 EET 2021","Fri Dec 17 10:20:57 EET 2021","12202","","Purchase flow tescting","","Purchase flow tescting","Ordered fulfilled","Ordered fulfilled",""
"passed","Fri Dec 17 10:22:10 EET 2021","Fri Dec 17 10:22:10 EET 2021","91","","API testing","","API testing","Checking post for user creation","Checking post for user creation",""
"passed","Fri Dec 17 10:20:30 EET 2021","Fri Dec 17 10:20:36 EET 2021","6225","","Updating info at HomePage","","Updating info at HomePage","Buy the soldout item","Buy the soldout item",""
"passed","Fri Dec 17 10:19:09 EET 2021","Fri Dec 17 10:19:14 EET 2021","4304","","Login testing","","Login testing","Negative login testing","Negative login testing",""
"passed","Fri Dec 17 10:22:20 EET 2021","Fri Dec 17 10:22:21 EET 2021","786","","API testing","","API testing","Checking social media link","Checking social media link",""
"passed","Fri Dec 17 10:18:50 EET 2021","Fri Dec 17 10:19:00 EET 2021","10152","","Registration testing","","Registration testing","Warning: User is not unique","Warning: User is not unique",""
"passed","Fri Dec 17 10:22:00 EET 2021","Fri Dec 17 10:22:00 EET 2021","78","","API testing","","API testing","Checking positive loggin","Checking positive loggin",""
